"","i"
"125","sk__Eukaryota, k__unknown, p__unknown, c__Oligohymenophorea, o__Peniculida, f__Urocentridae, g__Urocentrum, s__Urocentrum_turbo"
"126","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium, s__Pythium_marsipium"
"127","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__unknown, g__unknown, s__uncultured_Pythium"
"128","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Leptolegnia, s__Leptolegnia_sp._BOLD:AAX5717"
"129","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Saprolegnia, s__Saprolegnia_delica"
"130","sk__Eukaryota, k__unknown, p__unknown, c__Synurophyceae, o__Synurales, f__Mallomonadaceae, g__Mallomonas, s__Mallomonas_sp."
"131","sk__Eukaryota, k__unknown, p__unknown, c__unknown, o__Himatismenida, f__Cochliopodiidae, g__Cochliopodium, s__Cochliopodium_actinophorum"
"132","sk__Eukaryota, k__unknown, p__unknown, c__unknown, o__Himatismenida, f__Cochliopodiidae, g__Cochliopodium, s__Cochliopodium_sp._SG-2014"
"133","sk__Eukaryota, k__unknown, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__zooplankton_environmental_sample"
"134","sk__Eukaryota, k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Nectriaceae, g__Fusarium"
"135","sk__Eukaryota, k__Fungi, p__Ascomycota, c__unknown, o__unknown, f__unknown, g__Tetracladium"
"136","sk__Eukaryota, k__Fungi, p__Basidiomycota, c__Microbotryomycetes, o__Sporidiobolales, f__Sporidiobolaceae, g__Rhodotorula"
"137","sk__Eukaryota, k__Metazoa, p__Annelida, c__Clitellata, o__Haplotaxida, f__Naididae, g__Nais"
"138","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae, g__Daphnia"
"139","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Hexanauplia, o__Cyclopoida, f__Cyclopidae, g__Cyclops"
"140","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Chironomus"
"141","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cricotopus"
"142","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Microtendipes"
"143","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Hemiptera, f__Corixidae, g__Sigara"
"144","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx"
"145","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Perciformes, f__Percidae, g__Gymnocephalus"
